City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.28,94,100,0.92,GS,1694294767
1,fale old settlement,-9.3852,-171.2468,27.86,75,68,3.22,TK,1694294767
2,stanley,54.868,-1.6985,20.44,90,20,2.06,GB,1694294767
3,edinburgh of the seven seas,-37.0676,-12.3116,9.7,57,88,12.16,SH,1694294768
4,margaret river,-33.95,115.0667,14.73,68,100,4.96,AU,1694294768
5,iqaluit,63.7506,-68.5145,5.85,70,20,4.12,CA,1694294768
6,invercargill,-46.4,168.35,10.57,68,99,1.34,NZ,1694294768
7,ribeira grande,38.5167,-28.7,22.22,73,75,3.13,PT,1694294768
8,port-aux-francais,-49.35,70.2167,1.22,71,30,19.37,TF,1694294768
9,jamestown,42.097,-79.2353,20.01,91,100,0.45,US,1694294768
10,albany,42.6001,-73.9662,26.44,75,100,0.45,US,1694294768
11,skiatook,36.3684,-96.0014,34.02,34,0,4.84,US,1694294768
12,olonkinbyen,70.9221,-8.7187,2.8,66,71,7.43,SJ,1694294768
13,bethel,41.3712,-73.414,27.6,86,20,1.54,US,1694294769
14,glencoe,-28.1783,30.147,17.23,27,0,2.23,ZA,1694294769
15,nuuk,64.1835,-51.7216,6.6,65,0,6.71,GL,1694294769
16,pangoa,-12.1167,-73.0,33.32,31,11,1.77,PE,1694294769
17,vorgashor,67.5833,63.95,6.79,92,55,3.47,RU,1694294769
18,shimoda,34.6667,138.95,25.61,84,63,1.31,JP,1694294769
19,puerto ayora,-0.7393,-90.3518,26.98,90,78,2.24,EC,1694294769
20,hakha,22.65,93.6167,16.03,99,77,1.23,MM,1694294769
21,playa del ingles,27.7567,-15.5787,24.86,84,61,2.62,ES,1694294769
22,shihezi,44.3,86.0333,22.35,33,83,1.42,CN,1694294769
23,fuyang,32.9,115.8167,22.33,75,41,2.85,CN,1694294770
24,hermanus,-34.4187,19.2345,17.67,74,26,14.39,ZA,1694294770
25,ushuaia,-54.8,-68.3,6.81,57,20,3.6,AR,1694294770
26,thasra,22.8,73.2167,26.57,75,99,4.25,IN,1694294770
27,ilulissat,69.2167,-51.1,2.01,87,75,3.09,GL,1694294770
28,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,62,0,3.0,RU,1694294760
29,paramonga,-10.6667,-77.8333,21.1,72,48,4.68,PE,1694294770
30,ghadamis,30.1337,9.5007,28.82,27,0,3.28,LY,1694294770
31,port alfred,-33.5906,26.891,21.09,59,2,2.78,ZA,1694294770
32,mejit,10.2753,170.8646,28.4,77,32,6.13,MH,1694294771
33,dryden,49.7833,-92.7503,19.16,48,20,2.57,CA,1694294771
34,toliara,-23.35,43.6667,21.67,86,0,0.29,MG,1694294771
35,adamstown,-25.066,-130.1015,21.05,86,100,6.14,PN,1694294771
36,waitangi,-43.9535,-176.5597,11.57,88,32,2.24,NZ,1694294771
37,cidreira,-30.1811,-50.2056,14.72,88,100,3.19,BR,1694294771
38,uturoa,-16.7333,-151.4333,26.06,80,17,6.4,PF,1694294771
39,'alaqahdari dishu,30.4374,63.313,28.02,9,0,1.39,AF,1694294771
40,mabaruma,8.2,-59.7833,29.66,68,24,4.06,GY,1694294771
41,purpe,64.4803,76.6897,7.48,78,29,3.61,RU,1694294772
42,santo antonio,-6.3106,-35.4789,24.32,75,69,6.33,BR,1694294772
43,georgetown,5.4112,100.3354,27.19,91,40,3.6,MY,1694294772
44,labrador city,52.9463,-66.9114,13.95,88,75,4.12,CA,1694294772
45,west island,-12.1568,96.8225,23.99,83,40,5.14,CC,1694294772
46,afaahiti,-17.75,-149.2833,27.93,84,25,8.54,PF,1694294772
47,santarem,-2.4431,-54.7083,32.07,66,20,4.63,BR,1694294772
48,ravar,31.2656,56.8055,29.24,12,0,1.55,IR,1694294772
49,papatowai,-46.5619,169.4708,11.03,65,42,1.32,NZ,1694294772
50,taguatinga,-12.3857,-46.5711,31.77,21,2,1.67,BR,1694294772
51,ust'-barguzin,53.45,108.9833,6.63,89,7,1.33,RU,1694294773
52,san julian,21.0167,-102.1667,27.25,26,1,4.11,MX,1694294773
53,longyearbyen,78.2186,15.6401,2.91,81,75,6.69,SJ,1694294773
54,demba,-5.51,22.2667,19.37,90,100,0.6,CD,1694294773
55,namtsy,62.7161,129.6658,2.5,98,100,3.4,RU,1694294773
56,juegang,32.3174,121.1855,23.84,81,4,2.1,CN,1694294773
57,acarau,-2.8856,-40.12,26.31,74,82,8.26,BR,1694294773
58,portland,45.5234,-122.6762,30.29,42,0,4.12,US,1694294487
59,bilibino,68.0546,166.4372,3.94,70,100,2.79,RU,1694294773
60,dzuunharaa,48.8523,106.4579,9.14,92,100,2.29,MN,1694294773
61,minas de marcona,-15.2119,-75.1103,17.31,64,0,5.87,PE,1694294774
62,badger,64.8,-147.5333,17.77,55,75,4.12,US,1694294774
63,arraial do cabo,-22.9661,-42.0278,24.92,69,0,6.69,BR,1694294774
64,lockwood,45.8191,-108.4149,23.56,48,75,5.14,US,1694294774
65,redencao,-4.2258,-38.7306,25.73,71,16,2.97,BR,1694294774
66,blackmans bay,-43.0167,147.3167,9.18,82,80,2.94,AU,1694294774
67,tiksi,71.6872,128.8694,1.71,76,100,2.27,RU,1694294774
68,isafjordur,66.0755,-23.124,4.69,71,95,3.3,IS,1694294774
69,flying fish cove,-10.4217,105.6791,22.82,94,75,3.09,CX,1694294774
70,st. john's,47.5649,-52.7093,19.04,89,75,3.6,CA,1694294774
71,wailua homesteads,22.0669,-159.378,28.44,70,0,6.17,US,1694294775
72,avarua,-21.2078,-159.775,22.03,94,75,8.75,CK,1694294775
73,mtsensk,53.2766,36.5733,13.21,66,96,3.45,RU,1694294775
74,puerto san jose,13.9256,-90.8244,31.13,62,40,3.99,GT,1694294775
75,bredasdorp,-34.5322,20.0403,13.04,72,1,6.82,ZA,1694294775
76,langtoucun,40.0261,124.3286,19.9,92,100,2.02,CN,1694294775
77,keflavik,64.0049,-22.5624,8.95,87,75,5.66,IS,1694294552
78,salinopolis,-0.6136,-47.3561,27.58,78,31,7.0,BR,1694294775
79,nar'yan-mar,67.6713,53.087,9.16,82,89,4.94,RU,1694294775
80,kailua-kona,19.6406,-155.9956,28.98,75,40,4.63,US,1694294775
81,saryozek,44.3583,77.9753,19.31,40,34,2.75,KZ,1694294776
